Year,Ashanti,Brong Ahafo,Central,Eastern ,Greater Accra,Northern,Upper East, Upper West,Volta,Western 
1991,1389,904,958,2133,2002,306,217,97,745,933
1992,1713,481,1165,2461,1905,205,259,140,619,1082
1993,1376,514,850,2088,1703,86,199,140,688,934
1994,1738,530,1130,1862,1819,143,137,76,346,707
1995,2000,588,981,1588,2453,199,223,147,828,1124
1996,1141,916,1323,2487,2612,269,294,125,842,916
1997,2341,814,1276,2181,2764,277,132,96,495,1072
1998,2387,1021,1350,2884,3182,293,133,104,730,1125
1999,1783,931,1409,2608,2278,321,264,142,619,1083
2000,2608,920,2101,2899,3295,335,312,198,905,1091
2001,2386,952,1681,3013,3420,439,339,185,1325,1093
2002,2482,1168,1991,3185,2798,473,304,121,1187,1365
2003,3548,1039,2193,2882,3136,623,323,133,1226,1211
2004,3676,1451,1943,3148,3782,806,322,134,1828,1346
2005,2913,1346,1602,2995,3566,448,291,187,1445,1045
2006,2604,1261,1170,2501,3880,594,144,86,1189,1063
2007,3243,1121,1324,2662,4857,615,245,117,1056,1176
2008,2856,1512,1438,2749,4267,745,241,174,1271,1216
2009,3663,1538,1862,2897,4971,524,199,144,1155,1543
2010,3752,1303,1595,2483,4293,812,145,183,1123,1215
2011,3614,1514,1550,2331,3794,689,197,210,1168,1152
2012,3619,1515,1552,2333,3800,691,198,211,1170,1303
2013,3732,1623,1662,2456,3934,739,215,229,1234,1389
2014,3709,1734,1781,2583,4072,789,233,249,1306,1476
2015,3969,1847,1900,2712,4212,841,252,269,1369,1566
2016,3387,1021,1350,2884,3182,293,133,104,730,1125
2017,3783,931,1409,2608,2278,321,264,142,619,1083
2018,3608,920,2101,2899,3295,335,312,198,905,1091
2019,3000,1088,1981,2588,2453,799,223,147,1028,1124
2020,3752,1303,1595,2483,4293,812,145,183,1123,1215
2021,3614,1514,1550,2331,3794,689,197,210,1168,1152
2022,3619,1515,1552,2333,3800,691,198,211,1170,1303
2023,3732,1623,1662,2456,3934,739,215,229,1234,1389
2024,3709,1734,1781,3583,4072,789,233,249,1306,1476
